ID,Internal_id,germinated,total,non_germinated,rate,Source_name,name,Parents_id,Amplification_round_starting,Admixture_internal,Admixture_as_database,Latitude,Longitude,iso_alpha,Temperature,Data_germination_filtered_for_viability,sequencer,short_name,Collector,Accession_ID,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
9860,2021-0711,66,66,0,1,A. thaliana,IP-Lum-0,2017-324,9.2021,Spain,spain,42.24,-2.62,ESP,20degree_LD,NA,Monsanto,Lumbreras,Carlos Alonso-Blanco,CS77059,9.7,10.7,3.9,577.7,25.6,-1.8,27.4,11.4,17.4,17.4,2.7,672,74,37,18,196,130,130,177
9861,2021-0712,79,79,0,1,A. thaliana,IP-Mac-0,2017-325,9.2021,Spain,spain,40.72,-3.21,ESP,20degree_LD,NA,Monsanto,Marchamalo,Carlos Alonso-Blanco,CS77061,12.4,10.3,3.5,653.9,29.1,0.3,28.8,8.2,21.1,21.1,4.5,440,54,13,32,146,62,62,116
9864,2021-0714,60,61,1,0.983606557,A. thaliana,IP-Mat-0,2017-326,9.2021,Spain,spain,41.76,2.69,ESP,20degree_LD,NA,Monsanto,Martorel de la Selva,Xavier Picó,CS77074,15.5,6.9,3,542.5,27.5,5,22.5,16.6,22.5,22.6,8.8,726,109,30,30,245,133,161,159
9866,2021-0444,58,58,0,1,A. thaliana,IP-Mdd-0,2016-018,9.2021,Spain,spain,41.89,-2.79,ESP,20degree_LD,NA,Monsanto,Molinos de Duero,Carlos Alonso-Blanco,CS77076,8.7,11,3.8,595.6,25.5,-3,28.5,10.4,16.7,16.7,1.6,660,75,36,19,196,124,124,173
9867,2021-0715,69,69,0,1,A. thaliana,IP-Mie-1,2017-327,9.2021,Spain,spain,40.94,-3.22,ESP,20degree_LD,NA,Monsanto,Mierla,Xavier Picó,CS77083,11.6,10.5,3.6,647.8,28.3,-0.4,28.7,7.5,20.2,20.3,3.8,466,53,15,29,147,69,72,121
9868,2021-0716,57,57,0,1,A. thaliana,IP-Moe-0,2017-328,9.2021,Spain,spain,41.78,2.37,ESP,20degree_LD,NA,Monsanto,Montseny,Xavier Picó,CS77104,12.6,7.1,3.1,541.8,25,2.6,22.4,17.4,6.2,19.8,6.2,839,98,47,20,253,173,202,173
9870,2021-0507,69,69,0,1,A. thaliana,IP-Moz-0,2016-970,9.2021,Central Europe,spain,41.91,0.17,ESP,20degree_LD,NA,Monsanto,Monzón,Carlos Alonso-Blanco,CS77111,13.3,10.9,3.8,617.8,29,0.5,28.5,15.8,5.4,21.2,5.4,487,60,26,24,155,90,114,90
9874,2021-0717,43,44,1,0.977272727,A. thaliana,IP-Oja-0,2017-329,9.2021,Spain,spain,42.34,-3,ESP,20degree_LD,NA,Monsanto,Ojacastro,Carlos Alonso-Blanco,CS77143,10.4,9.8,3.8,553,25.2,-0.3,25.5,7.2,17.8,17.8,3.7,661,69,34,19,193,125,125,178
9876,2021-0773,55,55,0,1,A. thaliana,IP-Pad-0,2015-119,9.2021,Sweden,spain,41.34,0.99,ESP,20degree_LD,NA,Monsanto,Prades,Carlos Alonso-Blanco,CS77158,13.2,9.4,3.5,596.8,27.5,1.3,26.2,13.9,6.8,21,5.8,598,69,26,26,181,117,137,117
9877,2021-0490,68,68,0,1,A. thaliana,IP-Pdl-0,2016-210,9.2021,Spain,admixed,43.02,-5.6,ESP,20degree_LD,NA,Monsanto,Piedrafita la Mediana,Carlos Alonso-Blanco,CS77165,8.7,10.2,4.1,500.9,22.9,-1.8,24.7,6,15.3,15.3,2.6,895,114,45,26,304,160,164,247
